Ticker / Index,Name,Date,Value,Change,ISIN
OMXBBGI,OMX_Baltic_Benchmark_GI,12.10.2005,623;06,15;45,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.10.2005,621;5,15;16,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.10.2005,620;01,14;88,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.10.2005,619,14;69,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.10.2005,620;21,14;92,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.10.2005,614;21,13;81,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.10.2005,611;24,13;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.10.2005,605;15,12;13,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.10.2005,603;89,11;89,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.10.2005,604;9,12;08,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.10.2005,604;86,12;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.10.2005,601;81,11;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.10.2005,602;05,11;55,
OMXBBGI,OMX_Baltic_Benchmark_GI,31.10.2005,600;63,11;29,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.11.2005,605;03,12;1,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.11.2005,602;11,11;56,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.11.2005,605;33,12;16,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.11.2005,610;24,13;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.11.2005,609;88,13,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.11.2005,611;04,13;22,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.11.2005,612;97,13;58,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.11.2005,616;24,14;18,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.11.2005,613;92,13;75,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.11.2005,618;55,14;61,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.11.2005,617;71,14;45,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.11.2005,615;07,13;97,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.11.2005,617;62,14;44,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.11.2005,616;35,14;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.11.2005,612;75,13;54,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.11.2005,611;29,13;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.11.2005,612;49,13;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.11.2005,611;82,13;36,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.11.2005,611;18,13;24,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.11.2005,607;83,12;62,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.11.2005,606;73,12;42,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.11.2005,606;33,12;35,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.12.2005,610;21,13;06,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.12.2005,609;53,12;94,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.12.2005,607;09,12;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.12.2005,606;96,12;46,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.12.2005,607;71,12;6,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.12.2005,605;46,12;18,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.12.2005,605;97,12;28,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.12.2005,606;12,12;31,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.12.2005,606;51,12;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.12.2005,604;25,11;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.12.2005,606;36,12;35,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.12.2005,605;74,12;24,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.12.2005,604;24,11;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.12.2005,604;43,11;99,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.12.2005,605;71,12;23,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.12.2005,607;04,12;48,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.12.2005,608;07,12;67,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.12.2005,609;49,12;93,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.12.2005,608;62,12;77,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.12.2005,610;99,13;21,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.12.2005,611;89,13;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.01.2006,611;46,13;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.01.2006,614;41,13;84,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.01.2006,618;47,14;6,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.01.2006,620;45,14;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.01.2006,623;3,15;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.01.2006,625;69,15;93,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.01.2006,624;37,15;69,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.01.2006,624;21,15;66,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.01.2006,621;91,15;23,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.01.2006,621,15;06,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.01.2006,621;73,15;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.01.2006,621;17,15;1,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.01.2006,617;94,14;5,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.01.2006,619;44,14;77,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.01.2006,618;68,14;63,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.01.2006,618;4,14;58,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.01.2006,616;24,14;18,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.01.2006,614;4,13;84,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.01.2006,613;62,13;7,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.01.2006,613;97,13;76,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.01.2006,613;06,13;59,
OMXBBGI,OMX_Baltic_Benchmark_GI,31.01.2006,605;3,12;15,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.02.2006,604;86,12;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.02.2006,595;68,10;37,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.02.2006,592;88,9;85,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.02.2006,596;18,10;47,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.02.2006,601;24,11;4,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.02.2006,600;19,11;21,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.02.2006,599;21,11;03,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.02.2006,597;52,10;71,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.02.2006,596;53,10;53,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.02.2006,593;4,9;95,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.02.2006,593;91,10;04,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.02.2006,593;43,9;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.02.2006,596;44,10;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.02.2006,593;51,9;97,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.02.2006,591;84,9;66,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.02.2006,589;74,9;27,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.02.2006,586;82,8;73,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.02.2006,587;9,8;93,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.02.2006,588;12,8;97,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.02.2006,592;34,9;75,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.03.2006,593;28,9;93,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.03.2006,595;05,10;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.03.2006,596;31,10;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.03.2006,594;73,10;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.03.2006,594;14,10;09,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.03.2006,589;23,9;18,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.03.2006,588;99,9;13,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.03.2006,585;15,8;42,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.03.2006,583;96,8;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.03.2006,583;07,8;04,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.03.2006,582;67,7;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.03.2006,579;52,7;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.03.2006,578;58,7;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.03.2006,579;26,7;33,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.03.2006,582;78,7;98,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.03.2006,583;73,8;16,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.03.2006,586;53,8;68,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.03.2006,588;52,9;05,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.03.2006,592;55,9;79,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.03.2006,597;71,10;75,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.03.2006,601;77,11;5,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.03.2006,601;9,11;52,
OMXBBGI,OMX_Baltic_Benchmark_GI,31.03.2006,606;91,12;45,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.04.2006,604;85,12;07,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.04.2006,605;36,12;17,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.04.2006,607;72,12;6,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.04.2006,606;99,12;47,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.04.2006,608;12,12;68,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.04.2006,606;65,12;41,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.04.2006,607;79,12;62,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.04.2006,606;54,12;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.04.2006,607;74,12;61,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.04.2006,607;03,12;48,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.04.2006,606;46,12;37,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.04.2006,606;51,12;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.04.2006,609;26,12;89,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.04.2006,606;02,12;29,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.04.2006,601;84,11;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.04.2006,598;18,10;84,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.04.2006,600;7,11;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.04.2006,598;69,10;93,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.05.2006,594;64,10;18,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.05.2006,593;78,10;02,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.05.2006,594;1,10;08,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.05.2006,595;06,10;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.05.2006,595;67,10;37,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.05.2006,597;09,10;63,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.05.2006,598;08,10;82,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.05.2006,596;3,10;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.05.2006,593;57,9;98,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.05.2006,588;41,9;03,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.05.2006,589;67,9;26,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.05.2006,590;4,9;39,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.05.2006,584;48,8;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.05.2006,585;08,8;41,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.05.2006,572;96,6;16,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.05.2006,564;7,4;63,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.05.2006,558;49,3;48,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.05.2006,559;49,3;67,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.05.2006,562;76,4;27,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.05.2006,563;97,4;5,
OMXBBGI,OMX_Baltic_Benchmark_GI,31.05.2006,562;02,4;14,
